scaffold1	scaffold2	connections
691	908	23
2315	6422	34
10382	4236	14
893	893	163
3852	9406	25
2138	5185	3
2193	2683	40
8212	9706	24
3712	541	23
4031	698	23
170	9416	25
5141	5374	60
2266	3952	2
2325	3450	22
210	22	5
10506	3867	6
1898	9326	2
1380	14608	39
43	9350	54
12486	4948	22
764	91	5
4978	8868	2
176	6826	16
2271	3809	9
12227	1542	20
179	397	133
1512	7955	20
2065	527	40
12809	5805	2
48	83	17
1	12228	18
10	1817	5
211	47	22
3980	5421	4
3450	7136	20
154	6193	12
15	1501	226
848	9554	425
304	8479	18
611	739	5
1316	1364	4
217	9326	18
299	6884	3
178	7922	13
12	16	15
9051	930	25
205	8896	12
3822	8730	18
132	1698	20
1106	5441	9
2414	691	29
1206	1687	14
291	612	71
147	9707	3
118	13	802
11825	2090	5
6999	903	46
10438	1092	8
1352	2315	78
1701	4431	271
399	903	49
101	10438	17
1417	375	3
4390	9173	10
3819	7672	4
2090	2869	12
13396	2266	3
5932	7136	6
32	96	3
11498	1527	18
10963	1417	16
2078	6292	13
14354	54	6
1230	282	20
779	8218	25
109	111	5
347	535	31
7933	82	3
2304	96	566
1542	65	6
1041	265	21
315	33	5
219	9305	19
107	1186	245
153	9416	14
2526	617	7
11825	1828	19
7933	830	22
30	479	17
10428	1365	20
244	8896	10
44	9825	11
571	8479	27
3084	6828	40
14354	30	2
4741	5092	4
3418	635	23
10963	2201	19
1007	9186	19
384	838	3
10320	3778	6
4100	65	7
12809	13396	6
2646	482	11
118	216	2
449	7922	16
1460	681	22
13522	2828	21
11789	211	63
463	77	156
1856	2226	27
3368	535	562
3354	867	19
10	440	2
10351	2177	23
3813	669	24
1035	918	23
1026	29	12
2777	330	7
278	715	22
3005	5166	16
450	6073	10
2911	520	31
11089	2649	3
267	4067	38
392	977	3
10438	1671	4
2304	2304	30
19	299	15
2100	3755	4
2313	9267	3
3408	3418	4
6156	751	20
256	468	2
3092	74	16
1277	9326	15
435	7955	20
548	892	27
1831	867	35
1784	5829	8
10506	115	14
2476	3311	39
10079	2100	22
13714	347	47
10079	10713	2
10139	362	2
3368	443	27
1883	243	13
1493	1800	26
421	9326	22
12502	1671	18
305	8279	6
1204	12486	28
2078	487	22
2016	2507	20
1137	9186	19
132	2315	38
1417	6826	6
486	7672	19
326	787	412
1404	5870	17
1636	8786	49
272	5421	32
12981	8194	33
103	495	2
435	9576	25
546	6826	20
12486	840	17
109	137	3
1749	9326	37
244	7933	23
12518	3992	2
1604	2448	15
15	887	331
2324	557	54
14405	3328	2
449	7933	16
10890	11966	6
1234	565	137
10506	3092	2
446	5382	12
5538	8040	2
1194	3398	2
211	4279	4
1048	802	23
123	46	2
1903	2954	3
10963	110	20
1563	2683	12
10438	244	6
641	75	9
2828	674	7
4625	5141	35
71	87	10
24	710	7
13334	203	18
150	3084	48
372	5397	10
1197	2056	16
12228	189	6
14354	710	28
11380	3533	33
1075	1203	24
10713	2442	17
6138	985	3
406	8952	8
108	88	18
3243	7280	20
41	9305	30
11175	11650	11
1068	10964	11
223	243	2
56	713	4
10699	213	2
1970	239	18
1078	5441	6
1233	4100	11
1326	8218	14
2385	4353	13
3202	7115	15
2505	2505	6
243	82	85
1200	392	5
542	935	20
3337	3444	22
206	243	13
300	305	21
14508	9699	9
121	305	34
165	315	5
2330	2806	3
2136	4943	25
10438	3255	17
11728	8495	17
1359	918	36
1828	2869	22
346	9326	36
7384	97	12
7038	925	30
1542	2451	13
6828	841	34
11208	1291	34
196	546	2
111	20	27
178	243	16
2874	3822	14
1463	7038	22
122	57	15
14354	48	15
10890	300	2
223	7933	13
205	2065	21
12809	1853	10
5883	8414	2
223	392	3
6138	786	28
389	983	2
11089	18	2
3401	9127	38
117	143	17
348	456	22
443	784	7
362	515	537
54	83	9
13396	972	37
10506	51	43
11852	1206	15
3111	6193	16
10438	7922	15
3984	5366	33
1030	7981	39
6724	9576	3
138	2840	33
